iapp24,iapp48,iapp96
3.76052877742907,3.63963730100034,3.60859699528929
28938.7639127767,27338.898836231,28359.6833322069
29982.9629929582,36156.6975077081,38122.4108777551
420594.604664533,240298.967092921,150045.319137104
30915.1758632181,38019.578407293,41576.4424937787
