measure,nr,c_rate,t_duration,last_ref,last_val,rmse
voltage,5,1,3600,3.76052877742907,3.76011530709671,0.0974386749260201
voltage,10,1,3600,3.76052877742907,3.76273027181452,0.0535417409952313
voltage,100,1,3600,3.76052877742907,3.76052813870238,0.00335012842368064
voltage,1000,1,3600,3.76052877742907,3.76052877742907,0
voltage,5,2,1000,3.63963730100034,3.63913679529608,0.155561840439875
voltage,10,2,1000,3.63963730100034,3.64230802385293,0.0908340097545796
voltage,100,2,1000,3.63963730100034,3.63963652892403,0.00731985142235857
voltage,1000,2,1000,3.63963730100034,3.63963730100034,0
voltage,5,4,300,3.60859699528929,3.56565871868791,0.227514252125206
voltage,10,4,300,3.60859699528929,3.61490251990186,0.137000970233969
voltage,100,4,300,3.60859699528929,3.60859412762498,0.011796238096451
voltage,1000,4,300,3.60859699528929,3.60859699528929,0
